type,category,part_number,title,price,upc,weight,length,width,height,location,manufacturer
wholegood,White Goods,542000,FTG EYE 1.0 INSDR WHT BULK PK,3.65,7.88E+11,0.06,1.75,1.75,1.5,E,Pentair
wholegood,White Goods,542001,FTG EYE 1.0 INSDR BLK BULK PK,4.32,7.88E+11,0.06,1.75,1.75,1.5,E,Pentair
wholegood,White Goods,542002,FTG EYE 1.5 INSDR WHT BULK PK,3.65,7.88E+11,0.1,1.75,1.75,2.3,E,Pentair
wholegood,White Goods,542003,FTG EYE 1.5 INSDR BLK BULK PK,3.87,7.88E+11,0.12,2.5,2.5,1.25,E,Pentair
wholegood,White Goods,542038,FRAME & GRATE 3BAR 2x4 M240,2.49,7.88E+11,0.06,4,2,0.5,E,Pentair
wholegood,White Goods,542039,DRAIN GUTTER W/GRATE 2.5 X 6 S245 WHT,5.93,7.88E+11,0.5,6.5,3,3,E,Pentair
wholegood,White Goods,542044,ANCHOR ROPE (GUN) S240 WHT,5.51,7.88E+11,0.25,3,4.25,2.25,E,Pentair
wholegood,White Goods,542045,ANCHOR ROPE (GUN) S240 BLK,6.39,7.88E+11,0.25,3,4.25,2.25,E,Pentair
wholegood,White Goods,542048,ESCUTCHEON CHROME M234 ,4.78,7.88E+11,0.19,5.25,2.25,0.75,R,Pentair
wholegood,White Goods,542049,ESCUTCHEON WHITE M235 ,1.35,7.88E+11,0.19,5.25,5.25,0.75,E,Pentair
wholegood,White Goods,542068,ALGEE GON H103 ,12.35,7.88E+11,0.22,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,542087,EYEBALL ULTIMATE THD S170 WHT,3.65,7.88E+11,0.19,2.5,2.5,1.25,E,Pentair
wholegood,White Goods,542146,GRATE 2x4 GUTTER DRAIN M233 WHT,2.95,7.88E+11,0.045,12,12,12,E,Pentair
wholegood,White Goods,542402,BODY RTN FTG 50PK LNG 1.5Tx1.5S WHT,3.88,7.88E+11,0.25,3.5,3.5,2.5,E,Pentair
wholegood,White Goods,542404,BODY RTN FTG 50PK STD 1.5Tx1.5T WHT,3.43,7.88E+11,0.19,3.5,3.5,2,W,Pentair
wholegood,White Goods,542405,BODY RTN FTG 50PK STD 1.5Tx1.5S WHT,3.57,7.88E+11,0.26,2,2,1,W,Pentair
wholegood,White Goods,542411,FTG RTN ASY 50PK LNG 1.5Tx1.5S WHT,5.23,7.88E+11,0.5,20.75,13,8.5,R,Pentair
wholegood,White Goods,542413,FTG RTN ASY 50PK STD 1.5Tx1.5T WHT,6.2,7.88E+11,0.38,3.5,3.5,1.75,W,Pentair
wholegood,White Goods,542414,FTG RTN ASY 50PK STD 1.5Tx1.5S WHT,6.2,7.88E+11,0.5,21,13,9,W,Pentair
wholegood,White Goods,542417,BODY RTN FTG 50PK LNG 1.5Tx1.5S BLK,4.15,7.88E+11,0.25,3.5,3.5,2.5,E,Pentair
wholegood,White Goods,542418,BODY RTN FTG 50PK STD 1.5Tx1.5T BLK,3.67,7.88E+11,0.38,21,13,9,W,Pentair
wholegood,White Goods,542419,BODY FTG RTN 50PK STD 1.5Tx1.5S BLK,3.67,7.88E+11,0.38,21,13,9,W,Pentair
wholegood,White Goods,542423,"FTG 2"" INSIDER WALL WHT ",4.07,7.88E+11,0.26,3.5,3.5,1.75,E,Pentair
wholegood,White Goods,542424,"FTG 2"" INSIDER WALL BLK ",4.76,7.88E+11,0.12,3.5,3.5,1.75,E,Pentair
wholegood,White Goods,542429,FTG RTN 1.5 SLP G/V WHT ,6.09,7.88E+11,0.46,4,4,2.5,E,Pentair
wholegood,White Goods,552511,"GRATE 2""x4"" FOR 542037XX M237 WHT",2.52,7.88E+11,0.06,3.75,2.25,0.25,E,Pentair
wholegood,White Goods,82400700,STEPS WHITE SET OF 3 ,41.89,7.88E+11,4,8,8,17,R,Pentair
wholegood,White Goods,82400800,STEPS GRY SET OF 3 ,41.88,7.88E+11,4,8,8,17,R,Pentair
wholegood,White Goods,84120100,S15 CW 1 1/2IN ,66.88,7.88E+11,10,11,15,22.5,R,Pentair
wholegood,White Goods,84120200,"S15 CW 2"" THRD ",74.12,7.88E+11,9,15,10,22,R,Pentair
wholegood,White Goods,84141100,S15 SHORT THRT CW 1 1/2@ ,87.02,7.88E+11,11,22,15,11,R,Pentair
wholegood,White Goods,84151500,S15 OM CW STD ,84.86,7.88E+11,11.8,12,23,9,R,Pentair
wholegood,White Goods,84420405,S20 FW SLP ,57.83,7.88E+11,10,11,15,22.5,R,Pentair
wholegood,White Goods,84420500,"S20 CW EQ 2"" THRD ",78.42,7.88E+11,12,11,15,22.5,R,Pentair
wholegood,White Goods,84420505,"S20 CW EQ 2"" SLP ",73.18,7.88E+11,12,11,15,22.5,R,Pentair
wholegood,White Goods,84420530,"S20 CW EQ 2"" THRD BGE ",75.42,7.88E+11,10,22,15,11,R,Pentair
wholegood,White Goods,84420535,"S20 CW EQ 2"" SLP BGE ",70.37,7.88E+11,9.7,22,11,15,R,Pentair
