part_number,title,base_price,cat_low_net_price,upc,uom,manufacturer,category
SP32102EE,1 HP TRISTAR FULL RATE 2 SPEED,$585.35 ,,6.10E+11,1,Hayward,wholegood
WCV2600VS,"6"" CPVC WAFER FULL PATTERN CHK VLV FPM SS SPRING",$584.31 ,,6.10E+11,1,Hayward,
SP3020EEAZ,PUMP SUPERII 2HP CONS AZ RISER,$584.11 ,,6.10E+11,1,Hayward,wholegood
SW1300E,"3"" PVC SWING CHK VLV EPDM SEALS",$581.00 ,,6.10E+11,1,Hayward,
C3030,325 SF SWIM CLEAR TOP MANIFOLD,$573.13 ,,6.10E+11,1,Hayward,wholegood
SP3015X202AZ,PUMP SUPERII 2HP 2SPD W/RISER,$571.20 ,,6.10E+11,1,Hayward,wholegood
SP0527SLED150,"LIGHT-LED COLOR,POOL 120V/150FT CORD SS",$566.10 ,,7.61E+11,1,Hayward,wholegood
S311SXV,30 IN SAND FILTER  W/2 IN SLIDE VALVE,$565.91 ,,6.10E+11,1,Hayward,wholegood
AQ-TROL-HP-TL,"CHLORINATOR-AQUA TROL,HOSE/PIPE,TWIST LOCK",$562.50 ,,7.61E+11,1,Hayward,wholegood
SP3220X25,"PUMP-2 1/2 HP TRISTAR, MAXRATE",$562.28 ,,6.10E+11,1,Hayward,wholegood
LPCUN11150,UCL POOL COLOR NETWORK 12V 150FT,$561.32 ,,6.10E+11,1,Hayward,wholegood
BS7401-8,"1/8 PERF SSTL BSKT FOR 4"" SB",$557.75 ,,6.10E+11,1,Hayward,
DE4820,48 SQ FT PRO-GRID DE FILTER,$554.58 ,,6.10E+11,1,Hayward,wholegood
YC10400S,"4"" PVC Y CHECK VALVE SOC",$553.71 ,,6.10E+11,1,Hayward,
PL-P-4,"CONTROL-1 ENCLOSURE, SUBPANEL",$544.92 ,,6.10E+11,1,Hayward,wholegood
AQ-TROL-HP,"CHLORINATOR-AQUA TROL,HOSE/PIPE,STRAIGHT BLADE",$543.35 ,,7.61E+11,1,Hayward,wholegood
HPC-4-RC,"CONTROL-BASE,ECOMMAND,4 RLY,3VLV OUTPUTW/REMOTE",$540.36 ,,7.61E+11,1,Hayward,wholegood
SP3020X25AZ,PUMP SUPERII 2 1/2HP AZ RISER,$538.14 ,,6.10E+11,1,Hayward,wholegood
SP2615X202S,"PUMP-2 HP SUPER, 2 SPD W/SWITCH",$533.96 ,,6.10E+11,1,Hayward,wholegood
TB1400F,"4"" PVC TU BALL VLV FLG VIT",$531.37 ,,6.10E+11,1,Hayward,
SP0527SLED100,"LIGHT-LED COLOR,POOL 120V/100FT CORD SS",$530.08 ,,7.61E+11,1,Hayward,wholegood
